,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
ATP23,0.17859182,0.0983579,0.7975583,0.08741373,0.030961534,0.4851461,0.3232963,0.022200936,0.3412651,0.1654817,0.1002821,0.076039344,0.5543361
LRIG3,0.7094746,0.17695811,0.7161132,0.9130749,1.6559969,0.3838094,1.0612189,0.0059051914,0.25369832,0.038262434,0.07421068,0.18793547,0.72885346
SLC16A7,4.1590257,1.0894442,1.2094254,1.1057422,1.1406653,0.41545475,0.19867536,0.45432362,1.03649,0.79809284,1.8957646,0.48907804,0.6500913
TAFA2,0.7586159,0.38282618,0.50030327,0.23098072,0.5341944,0.8654341,0.33245113,0.31438607,0.9362492,0.48529413,0.45728555,1.7926849,1.0270838
USP15,2.7798955,4.1555905,0.9054383,3.3519235,3.2826838,1.8147261,2.2319906,4.51971,3.4646215,2.3799734,3.469495,3.530055,2.3857245
MON2,4.764694,2.1473343,1.5566243,3.6959758,5.3270082,2.0368123,3.326928,2.6737123,2.3466198,3.995709,2.257514,4.3595095,2.2856836
PPM1H,0.28537846,0.28441802,0.42968038,1.407555,0.57886744,0.38536146,1.5116988,0.90966976,0.78419614,0.26833883,0.017658256,1.410387,0.8185742
AVPR1A,0.6165523,0.7544141,0.7646058,0.93880564,0.11902771,0.5626565,0.89508337,0.08637065,0.76996404,0.6898491,0.49452695,0.015235248,0.94266623
RXYLT1,0.56670874,0.2741709,0.28492185,0.26890293,0.27839482,0.3507959,0.4723065,0.15550908,0.9002911,0.08316589,0.08847974,0.4655968,1.410222
SRGAP1,1.2166892,0.117010966,1.430154,4.169296,5.02887,0.9549535,0.927673,2.374189,1.7794774,0.5756156,0.22230607,3.7065244,0.7676561
C12orf66,0.32603186,0.07392944,0.5821162,0.14679885,0.06595379,0.45124927,0.18080944,0.0759485,0.4967435,0.112723514,0.037922934,0.12167061,0.8887487
C12orf56,0.3371642,0.5053342,0.8277535,0.23909974,0.044480983,0.9589174,0.6312552,0.015232682,1.0662656,0.30507612,0.09116795,0.027946172,0.45473254
XPOT,0.3986459,0.32412457,0.446046,0.5950621,0.7787086,0.33254418,0.2964745,0.30672023,0.8775855,0.36179075,0.29321826,0.843414,0.82781994
TBK1,1.5922291,0.775324,0.34475031,1.9776202,1.4512889,0.6461888,0.86916727,1.1414891,1.2055217,0.51772994,0.4898489,1.3099345,0.60749835
RASSF3,1.544199,1.0444053,1.366935,1.767848,1.12841,0.32390413,1.0121536,1.6607345,0.1691547,0.35170257,1.2280027,0.7786436,0.7274566
GNS,1.6637342,0.2124775,0.9902377,1.2009795,0.65779424,0.7328582,0.4683972,0.88444555,0.3997355,0.31970096,0.10943866,0.8802151,1.4345349
