,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
PRKCZ-AS1,0.8398412,0.99443376,1.053984,0.7282186,1.0711298,0.6652395,0.88388157,0.74856573,0.7543299,0.89932615,0.9133371,0.69954485,0.5034838,0.72257066
FAAP20,0.77431756,0.42159578,0.27653325,0.18214083,0.63135874,0.42894414,0.34324574,0.20140493,0.29249373,0.13561925,0.6122132,0.1736488,0.13531813,0.7600315
AL590822.1,1.049426,0.78554505,0.8465908,0.6072888,0.8269591,0.15328111,0.79542994,0.7415472,0.03505317,0.6575505,1.1174332,0.3160115,0.012420471,0.08233043
SKI,1.433563,1.2497263,0.28294265,0.6571705,0.9633436,1.3562949,1.9182125,1.1898142,2.88529,0.6277086,1.6073902,0.56387985,1.8819412,1.8049778
AL590822.3,1.1582395,0.7769928,0.89368093,0.8461278,0.8349385,0.41753215,0.8984005,0.7545403,0.071045525,0.96289736,0.7765096,0.41696838,0.013146676,0.097997576
MORN1,0.745481,0.14824215,0.32890826,0.19065481,0.53617066,0.08706512,0.6630544,0.10749108,0.07180542,0.12473569,1.1730866,0.14810182,0.045126308,0.7149755
AL589739.1,0.9077515,0.96255124,1.1727595,1.0639633,1.033844,1.0612445,0.5297134,0.90408874,0.94896156,1.0754766,1.1349491,1.1966448,0.8361215,0.7675428
AL513477.2,0.76526743,1.0537772,0.86004347,0.608725,0.8560873,0.09058381,0.74297106,0.50301254,0.009055794,0.601811,0.7805377,0.07065278,0.010195715,0.057948302
RER1,0.67262983,0.53851485,0.6525318,0.6982801,0.5510791,0.5226143,0.9168034,0.7934804,0.86218756,0.6560928,0.5434319,0.8887988,0.6047765,2.6822746
PEX10,0.7796501,0.21695562,0.42879808,0.56324744,0.604466,0.16149464,0.42606217,0.113544405,0.1263558,0.15858383,0.6373782,0.095345855,0.04417791,0.38540325
