,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
MEGF6,0.6912415,0.29505464,0.35236874,0.35568613,1.0953372,1.4935677,0.11784105,0.20819706,0.47601303,0.13057412,1.3298627,0.18391469,0.24123836,1.4272224
AL513320.1,1.2219781,0.8065914,0.77310264,0.8264243,0.8425562,0.50931627,0.8763509,0.88964945,0.13527897,0.79367113,0.9032265,0.6695813,0.07643824,0.11193432
TPRG1L,0.9384623,0.38556036,0.76515424,0.18964723,0.80499834,0.09282168,0.7341416,0.35095793,0.04319845,0.17452584,0.8679496,0.26063147,0.040625103,0.30949175
WRAP73,0.7542499,0.2044065,0.3481716,0.54788214,0.6011143,0.2531243,0.6771785,0.35987395,0.24025464,0.24223638,0.61260283,0.4103471,0.24386308,0.6369761
TP73,0.8596334,0.3522651,0.569402,0.2964362,0.65810966,0.0824939,0.19994354,0.25767395,0.046091978,0.25518602,0.7923539,0.41384733,0.017267048,0.009615332
AL136528.1,0.9619364,0.8048699,0.81196916,0.9445526,1.069634,0.7825655,0.8299547,0.7404851,0.9005464,0.83753973,0.7547146,0.77924156,0.65529484,0.6910309
AL136528.2,0.96802056,1.0851321,1.0958321,1.1324549,0.8260567,0.78281605,0.906226,1.05391,0.76710653,0.977559,1.0426462,1.0859815,0.6854602,0.66193503
CCDC27,0.74913985,0.95174754,1.0239252,1.143325,0.8252874,0.8876738,0.9166848,1.010799,0.6763792,0.7892831,0.6910363,1.2441437,0.5221222,0.48075044
SMIM1,0.7622545,0.78266096,1.1269778,1.0560935,0.82741475,0.86074764,0.7826168,0.9874757,0.52932024,0.86459136,0.9932962,0.7373571,0.8948018,0.4606549
LRRC47,1.0852891,0.18436939,0.35594574,0.2529019,0.5461083,0.19845973,0.40331173,0.3055047,0.1699596,0.13350286,0.5540715,0.33843577,0.17829977,0.49764103
AL365330.1,0.83704984,0.9063132,0.78918403,0.93361783,0.95105475,1.0656068,0.74642366,0.83847654,0.82508063,0.852519,0.8617882,0.88971186,0.7527937,0.62253124
CEP104,0.71054274,0.15749058,0.28201798,1.3057382,1.3429462,0.57891864,1.1663814,0.19988088,0.64843285,0.15974669,1.1455957,0.8642727,0.52236634,1.8341887
DFFB,0.69335926,0.60849094,0.6910305,0.31168693,0.5629963,0.34089988,0.9545827,0.33870468,0.33741745,0.84153414,0.58128715,0.28381547,0.18456042,0.5896283
C1orf174,0.8328091,0.6973771,0.6767196,0.36681065,0.41584834,0.2189547,0.3417061,0.342398,0.28683358,0.267055,1.1626974,0.1377885,0.108110845,0.3787936
LINC01134,0.91085744,0.2126413,0.4850813,0.09728883,1.0459065,0.032667853,0.13997155,0.13688505,0.0373391,0.17894138,0.65390104,0.046512198,0.01068839,0.21445234
LINC01346,0.3499006,0.97105974,0.9528338,1.045761,0.97757673,0.9020377,0.8514156,0.8316145,0.90652174,0.99904644,0.9324688,1.0216788,0.8282347,0.7077455
LINC01345,1.0004331,0.8980537,0.9258599,0.8190088,1.0013433,0.7922571,1.0478853,1.0496765,0.8840792,0.8762039,1.0186261,0.8362133,0.91653246,0.84348536
LINC02780,0.83719116,0.8845461,1.1650051,0.85023826,0.8554375,0.8055001,1.0549005,0.86594653,0.9284404,0.96720755,0.7349526,1.0062782,0.7820124,0.641765
AL805961.1,0.7281524,1.0269692,0.7823108,0.71890056,0.9710648,1.1248629,0.9370406,1.0540096,0.88481027,0.7859297,0.6240463,0.72416747,0.8093743,0.8381653
LINC01777,0.853228,1.1907916,0.9654715,0.99662155,0.8889577,1.0041674,0.7899709,0.9335718,1.2200614,1.2885807,1.0135294,1.0897417,0.8170262,0.92888093
AL355602.1,1.0264537,0.98228854,1.0823888,0.9624902,0.86808544,0.6869951,1.1001709,0.9838879,0.75624245,0.89020085,0.8357351,0.72432697,0.46674368,0.8196052
Z98747.1,0.8394453,1.2366011,0.91516006,1.0935304,0.97618854,0.8931133,0.8848221,1.1069196,0.93624777,0.89905274,0.566062,0.9662498,0.8157999,0.83141494
LINC01646,0.8020829,0.9592644,0.8581801,1.2750682,0.8602498,1.0873238,0.9785732,0.8271511,0.7695199,0.9236813,0.9166022,0.81341845,0.70519465,0.7200121
AJAP1,0.91806334,1.093391,0.8142679,0.7289533,1.0345113,0.6842073,0.7111046,0.8981531,0.2627304,0.8869237,0.61693126,0.74148643,0.05701192,0.12143866
Z98886.1,0.9442423,1.0608366,0.674264,0.8106007,0.9115735,0.9119653,0.8958914,0.99666774,0.93337363,0.83257556,0.87862307,1.1128296,0.6669881,0.61795855
BX005132.1,1.1524532,0.9456514,0.87624013,1.0424463,0.7632793,0.8519315,0.9544725,0.9811476,0.9166831,1.0091901,1.0504032,0.7356743,0.7194719,0.7577336
LINC02781,0.88300675,0.8921732,0.908222,0.8707128,0.8067713,0.9534551,0.8287716,1.4077704,0.6812509,0.8741855,1.0128633,0.98651177,1.0595354,0.6685116
LINC02782,0.80140275,0.857368,0.81877685,0.90434396,0.83402705,0.8810445,1.3133205,1.0999169,1.0260197,0.96114033,0.85859287,0.91111505,0.78819996,0.8369929
AL139823.1,0.83334255,1.1116239,0.91289115,0.85641366,1.0242689,0.772499,0.9585901,1.0115333,0.66804504,0.69723326,0.6126117,1.2387673,0.8058848,0.7481757
Z98259.3,0.81620103,0.84862274,1.0837497,0.8977753,0.90682906,0.902222,1.0924073,0.90214,0.74731505,0.7545321,0.8874824,0.9640025,0.52923524,0.6695177
Z98259.2,0.8029589,0.98037153,0.80293286,0.9873195,0.8393353,0.8116546,0.8690424,0.91687375,1.0489429,1.0549144,1.1020725,0.75131357,0.7006655,1.0627283
Z98259.1,0.9189366,1.0466444,0.87494504,0.81505615,0.9130208,0.70068604,0.88440174,0.8136057,0.7890875,0.8264599,0.9605639,0.8083206,0.6390434,0.71746653
AL365255.1,0.98040915,0.8058189,0.8860531,0.81520367,1.0833633,0.118967354,0.6895759,0.64345765,0.040955402,0.64775187,1.2455087,0.16351074,0.14640187,0.017644178
NPHP4,0.9014953,0.38565356,0.39916363,0.3054981,0.53936005,0.4038823,0.85531706,0.14103518,0.69276017,0.4251183,0.6498183,0.48611695,0.13838854,1.0870717
KCNAB2,0.91233987,0.46685863,0.29810122,0.09057126,0.47496036,0.33428687,0.39966926,1.070959,2.726689,0.748213,1.5033983,0.6680702,0.99673456,0.14423293
CHD5,0.91178524,0.7488971,0.8924437,0.62549984,1.0408002,0.4445743,1.048182,0.68389666,0.06819039,0.74015224,0.836804,0.44644457,0.021634791,0.046418097
RPL22,0.7123056,0.160513,0.7522203,0.69125795,0.5040742,0.7301811,0.73361397,0.33398595,0.43186322,0.347644,2.0915465,0.3220704,0.27358228,1.4809399
AL031847.1,0.9329337,0.9265502,0.8832444,0.9400983,1.0213996,1.0732436,0.97431284,0.94911027,0.5932405,0.93697596,0.7475963,1.1274583,0.6370748,0.52999794
RNF207,0.9330988,0.29150465,1.2737347,0.6437855,0.6561719,0.76556647,0.6555668,0.21862106,0.17819606,0.11905721,1.0974369,0.30774742,0.16010907,2.317857
ICMT,1.0620482,0.61804414,0.7646511,0.12027438,0.64476687,0.2174099,0.52162653,0.4146694,0.076131254,0.3278471,0.87136024,0.14401925,0.037683055,0.17634974
LINC00337,0.8885315,0.888611,0.8170564,0.89569676,0.79424095,1.0219184,0.97986555,0.76918584,0.631323,1.2209136,0.8297728,0.8289563,0.9755376,0.6500006
HES3,0.84263617,1.0253247,0.93713343,1.0131706,0.7843617,0.9379099,0.9594347,1.0737453,0.9174592,0.8462222,0.8284886,1.1140863,1.0784099,0.58789694
GPR153,0.74104613,0.22183359,0.5500897,0.113813505,0.68894064,0.43093646,0.37213185,0.17592157,0.19215676,0.36909878,0.8367932,0.114344575,0.02129535,0.4081225
ACOT7,0.8374706,0.5783693,0.4851538,0.16502383,0.8499652,0.07333355,0.5339259,0.32296148,0.19201148,0.22372359,0.7830388,0.118623964,0.06403605,0.54178685
AL031848.2,0.9269424,0.97926515,1.0480102,0.774137,0.89386344,0.71183,0.9781897,0.88098687,0.6143039,1.0651677,0.86887866,0.9616771,0.484347,0.47541288
HES2,1.1880192,0.8556551,0.7905019,1.0852089,0.9469117,1.2888331,0.980314,0.83798695,0.71161413,0.92226374,0.8189609,1.2870681,0.9718148,0.73402846
ESPN,0.91349363,0.583063,0.6434797,0.37465766,0.79394674,0.03783731,0.2841902,0.4968289,0.025551789,0.3226683,1.3171419,0.033417657,0.032442868,0.09058558
AL031848.1,0.9785126,0.93047476,0.81126136,0.76641226,1.1001017,0.98843557,0.8871385,0.7297115,0.41138202,1.2319889,1.0986669,1.1102012,0.8884158,0.49416548
TNFRSF25,0.75318974,0.3448344,0.7161826,0.28340456,1.5205959,0.579463,0.20192455,0.40141606,0.68517834,0.71952903,1.326389,0.21363145,2.6625385,0.7770529
PLEKHG5,0.90476614,0.2818837,0.6925942,0.21351185,1.1254165,0.13920076,0.48374465,0.17628925,0.20901187,0.29405355,0.8403062,0.027669162,0.032610174,0.097011894
NOL9,0.82118964,0.31945637,0.5389065,0.41688186,0.6790334,0.3454055,1.2003462,0.41649845,0.29030013,0.46202698,0.826994,0.6461494,0.31854782,0.9307736
TAS1R1,0.84505016,1.1880248,0.83077013,0.75096786,0.7937304,0.6459871,0.7152246,1.1814278,0.66553104,0.67309517,0.94662476,0.8257053,0.68013537,0.5377079
ZBTB48,0.7899145,0.16962141,0.6611322,0.32371894,0.6778783,0.22003822,0.21561679,0.1081548,0.42611316,0.50322235,0.62395877,0.18340844,0.1456181,0.6934895
KLHL21,0.7213621,0.18336907,0.9081967,0.48514605,0.5311616,0.32636175,0.52725756,0.19806466,0.18790768,0.11972779,0.60093087,0.3190954,0.096474394,0.59266937
PHF13,0.6339163,0.14515017,0.31823912,0.27893406,0.47499546,0.03281645,0.11343491,0.118258685,0.10280006,0.28084195,0.44803244,0.07139245,0.031627025,0.2892639
THAP3,0.7554432,0.19940116,0.64449495,0.35700214,0.803336,0.18180205,0.8954206,0.13800919,0.1840734,0.12879905,0.738695,0.35749504,0.07520166,0.2619267
DNAJC11,1.6783721,1.2474282,1.0029403,0.7434854,0.6006127,0.75150967,1.6184152,0.29530135,0.75796956,0.3405497,0.63665736,0.9295072,0.33890292,1.6808314
LINC01672,0.68600094,1.3002747,1.0398445,0.69804114,1.0355262,1.1032438,0.9912546,1.1744696,0.63648814,1.0885905,0.93631315,0.67191184,0.5601406,0.8239744
AL591163.1,0.8940406,0.8582232,0.93736255,0.80793166,0.8720491,1.1815667,0.8344655,0.6831219,0.75648123,1.1578104,0.8137508,0.61339146,0.5155356,0.98599154
CAMTA1-DT,0.6402896,0.28183466,0.3662419,0.15283711,0.5233608,0.041466013,0.11964212,0.14217207,0.015526263,0.31863374,1.3292992,0.020338004,0.0071621304,0.10647994
CAMTA1,0.70928335,0.46905217,3.8959792,2.1854713,3.1429744,1.8018682,3.7410903,1.3520383,2.51226,1.4749727,1.145358,1.8215181,0.9159248,5.2151995
AL512330.1,0.9387892,0.8818037,0.9299724,1.1484386,0.93141586,0.7285973,1.2123493,0.8111359,0.54441255,0.94250476,0.7676892,0.79032016,0.5620968,0.55226845
CAMTA1-IT1,1.0310173,0.9018305,0.7444939,1.141042,0.76947784,0.85005623,1.0209218,0.87012184,0.6938816,1.0916338,1.0549442,0.6409364,0.89472127,1.0434394
Z97987.1,0.8826263,0.6035143,0.7789594,0.7762952,1.0156603,0.9542221,0.8625618,1.0513622,0.8240303,0.9333681,0.8746991,0.96703905,0.7664579,0.6637555
AL365194.1,1.0330757,0.9892754,0.8662178,0.9864069,0.9540148,0.7424893,0.86648697,0.9871487,0.6389196,0.8909679,0.76816636,0.89472795,0.5086871,1.1773885
AL359881.3,1.0455862,0.8736723,1.010846,1.0364808,0.8355207,1.0651364,1.0084631,0.928289,0.99426335,0.92851096,0.97825104,0.83802235,0.74395275,0.48513293
AL359881.2,1.0865091,1.010348,0.9404915,0.9102524,0.7983866,0.8383664,0.8408248,0.78357047,0.45225132,0.94354343,1.0977836,0.78502077,0.53774667,0.6243501
AL359881.1,0.92828417,0.6781004,0.91084397,0.7072417,1.031477,0.11973663,0.73149884,0.8023702,0.047215976,1.0440274,1.1707772,0.22709614,0.00795959,0.081957474
VAMP3,1.0190797,0.17194916,0.59899306,0.09491309,0.40861455,0.27188638,0.22864276,0.2249902,0.43303475,0.14008443,0.6373677,0.28460455,0.15116172,0.6156534
Z98884.2,1.1084459,0.933408,0.91380304,0.88903385,0.8853024,0.6911866,0.98605716,0.8457604,0.5793081,0.86811244,1.0219698,0.7393392,0.48800033,0.47923777
PER3,0.93697,0.14519872,1.4791002,2.9883993,1.4550605,4.0391116,3.6251173,1.5412909,3.5931122,1.1979179,2.7291741,0.7417994,0.39143157,6.4647093
Z98884.1,0.7088426,0.17028262,0.3654662,0.37573886,0.6958115,0.25238782,0.24795517,0.11834645,0.17271388,0.13801512,0.7523662,0.024373716,0.048619233,0.57398903
UTS2,0.8524798,0.43441856,0.6296011,0.3479371,0.99281687,0.09933895,0.5035895,0.3460746,0.04077153,0.6003449,0.7132609,0.02837702,0.032087866,0.09942682
TNFRSF9,0.6495596,0.5661067,0.80966055,0.33131903,0.44807637,0.077616304,0.29735097,0.52885157,0.10378583,0.5185606,0.40401375,0.031958625,0.24780507,0.017493155
PARK7,1.4223104,0.49768487,0.37463376,0.37503213,0.5817575,0.3398585,0.42951798,0.4266804,0.37860832,0.42645696,0.6006425,0.2578418,0.21811421,0.79664177
AL034417.4,0.8490431,0.38065445,0.7697361,0.36622187,0.8891532,0.102738045,0.51566494,0.16831271,0.040177774,0.41730294,0.8481334,0.08663328,0.028111948,0.16569294
AL034417.3,0.99363726,0.74592084,0.92295617,0.67222244,0.81536084,0.049674634,0.6520293,0.49448845,0.0325033,0.74166316,0.7281139,0.10674749,0.01566844,0.08071943
ERRFI1,2.0404027,1.8934447,4.0924706,4.3885174,0.50869656,1.09546,1.7036623,0.7701162,2.2676904,0.48253456,1.7832559,0.59498453,0.11658145,4.501718
AL034417.2,0.7792284,0.22243056,1.0467061,0.24059457,1.0364879,0.14572328,0.13903852,0.13227479,0.030047705,0.34351176,0.9286871,0.040726718,0.037325904,0.27571598
LINC01714,0.82195395,0.81911194,1.0676363,1.1098493,0.7919059,0.57683194,0.98143715,0.9432172,0.29490617,0.9118222,1.0877029,0.46304667,0.0637665,0.1722717
AL358876.2,0.92785037,1.0070798,1.254244,1.1523623,0.88443226,0.8450875,1.0147082,1.071073,0.9111907,0.5755105,1.071308,0.9927037,0.63225424,0.8780319
SLC45A1,0.9377901,0.5761008,0.5754139,0.5172632,1.0252166,0.14404565,0.76928645,0.51699674,0.08985206,0.43175524,0.7580935,0.029629834,0.012606493,0.0055563427
RERE,5.4855576,5.3283644,9.626231,13.512629,7.640663,8.170328,14.890256,5.30188,10.461323,4.32557,5.801683,6.9567614,3.0940373,17.017237
RERE-AS1,0.93010104,0.45816466,0.7590122,0.27056223,0.6916779,0.07345296,0.38161808,0.2896926,0.030590508,0.5861728,0.7517536,0.09746074,0.027107812,0.07177181
AL357552.2,0.9599569,0.83596337,1.2151452,0.8510359,1.2483255,0.857649,0.95664924,0.8054113,0.8416143,0.6874255,0.8415474,0.96910787,0.52786416,0.85985553
ENO1,1.4801732,0.6555424,1.6663765,2.061622,0.60427046,0.60092574,0.4429026,0.71760213,0.9344245,0.4461967,1.6154951,0.6862288,0.5844184,2.2951725
ENO1-AS1,0.8720808,0.700516,0.7848008,0.89505506,0.723739,0.9415846,0.9355517,0.7604119,0.7708459,0.68067265,0.93503755,1.0326765,0.7239149,0.6606891
CA6,0.65612876,0.82792366,0.9308606,0.90936995,0.86419994,0.57946503,0.90521884,0.8173497,0.65154475,1.2092,0.8632957,0.7806885,0.5463669,0.59141034
SLC2A7,1.002518,0.8219487,0.87500477,0.8650882,0.84817517,0.73456097,0.95645225,1.0384594,0.8587112,0.8646858,0.9566117,0.8845764,0.73565114,0.7777022
SLC2A5,0.73888004,0.3965516,0.5419573,0.23383154,0.73111206,0.021134537,0.28145814,0.2563977,0.2581952,0.36197713,0.82957304,0.073952235,0.005327071,0.017213125
GPR157,0.8197953,0.19244915,0.4474254,0.32676753,0.9335423,0.37474865,0.25818673,0.49067646,0.97505975,0.32139167,0.7606547,0.10140484,0.05402019,0.78981394
MIR34AHG,0.8257518,0.12995407,0.98885137,2.4365058,1.0577157,0.8153091,0.9256439,0.6685891,1.9730489,0.25261036,1.2226186,0.50646996,0.12762284,3.7916076
LNCTAM34A,0.7880692,0.22181281,0.3960073,0.40922144,0.7170455,0.1235559,0.14738029,0.3784305,0.12445242,0.16956025,0.85308623,0.08916128,0.023500506,0.32248202
H6PD,0.7160683,0.42375568,1.5171753,0.75618047,0.9709597,0.7169472,0.44742298,0.4712291,0.41712138,0.3613894,0.609836,0.40860072,0.20804569,1.35276
SPSB1,0.7331429,0.16661392,1.0409024,0.4242448,1.8941312,3.5209074,0.24481556,0.40754247,0.16335325,0.6610178,0.7513315,0.46405748,0.14452372,0.35785198
BX323043.1,0.9698538,0.7827496,1.096885,0.9441454,0.8700214,0.893243,1.0633999,1.0017102,0.75707513,0.8908654,0.95357364,0.78875154,0.7422707,0.83529943
LINC02606,1.0092854,0.9395894,0.8554126,0.91629446,1.1236179,0.5974997,0.7865267,0.8092684,0.09568138,0.9060535,0.89242953,0.5583512,0.029501094,0.082684785
AL928921.1,1.0598662,0.85351723,0.874803,0.7088198,0.94206744,0.8696261,0.7836874,1.2778817,0.89428204,0.88835466,0.81297743,0.87130576,0.80812806,0.8805095
SLC25A33,0.78959376,0.2806071,0.66544616,0.537554,1.4903495,0.23080531,1.5545812,0.36825532,0.4264094,0.25056496,1.1857382,0.22738709,0.10560965,1.4481511
TMEM201,0.962071,0.6101496,0.7250263,0.47363994,0.8276628,0.04202011,0.8067674,0.41509926,0.07240684,0.7114407,0.8832926,0.0555258,0.048190925,0.055909585
PIK3CD,0.73452353,1.2477325,0.2731422,0.17207816,0.5085183,0.13747747,0.5887802,0.6653416,1.1439912,1.2820352,1.1763257,0.25349057,1.6027557,0.30538213
PIK3CD-AS1,1.0311831,0.977827,0.9265749,0.8496627,1.1947192,1.1007491,0.8674338,0.79723364,0.81302655,0.92566746,0.84324294,1.0499916,0.8113159,0.6825097
PIK3CD-AS2,1.00086,0.20772259,0.6289818,0.14994396,0.7199517,0.03823862,0.18220109,0.17108484,0.09768669,0.26115635,0.66983205,0.109644055,0.14996722,0.04084469
CLSTN1,0.6853423,1.1831299,0.36457482,1.6753911,0.90198857,1.1236627,0.6222158,0.98791826,0.80028796,0.76719725,1.5245908,0.67424595,0.8143129,1.5018681
CTNNBIP1,0.91289157,0.16827431,0.34791982,0.6215751,0.43726283,0.24571754,1.6239235,0.30380237,0.49435857,0.29794067,0.7997636,0.15224598,0.13381784,1.6046402
AL357140.1,0.7634981,1.0198541,1.001415,0.89752686,0.8111974,0.8335459,0.9141024,1.0090086,0.7706996,1.2963893,0.84774584,0.8332568,0.747429,0.78633714
AL357140.4,1.067996,0.39466348,0.90029943,0.31178835,0.7235937,0.045275435,0.5303864,0.2479895,0.03323927,0.37954587,0.81808746,0.063340545,0.017323967,0.07709002
LZIC,0.90956396,0.19938049,1.3086685,0.4271279,1.7668633,0.28525305,0.72470945,0.43884856,0.26904008,0.33443704,0.75628257,0.22502872,0.16653389,0.65027696
AL357140.2,1.0142065,0.90325075,0.8012141,1.04355,0.8287278,0.59796345,0.870497,0.9302932,0.52395046,0.9849364,0.8968591,0.6458333,0.3665168,0.39241883
NMNAT1,0.8737776,0.35802191,0.76347214,0.37969762,0.98614126,0.07084498,0.46862838,0.23292415,0.21039829,0.13453373,2.100463,0.08487124,0.050917096,0.9583045
AL603962.1,0.9323516,0.9582276,0.8909375,1.1431389,1.0508217,0.6288299,1.0002772,0.99267924,0.76217383,0.83666146,0.86291337,1.0652303,1.1166738,0.7797011
RBP7,0.8317684,1.1545613,0.90917754,1.0078698,1.0428705,0.9558185,0.87274003,0.9683788,1.0180734,1.1767924,0.97974956,0.8780591,0.8879207,0.6591842
UBE4B,3.460235,1.1937772,2.3639636,2.1539586,2.1974554,1.6001227,3.351968,1.5933552,2.3954985,1.2069994,1.2124523,2.5559776,1.1257944,4.153253
KIF1B,0.72902673,0.34583625,3.4721327,3.8273294,1.6993228,2.1357174,5.770387,1.9809451,5.6602335,0.5235726,2.3414512,1.760424,0.55008996,5.3629417
AL139424.3,0.81555665,0.82444227,0.7133642,0.72508216,0.8049388,0.46752682,0.7776167,0.80502707,0.17750524,0.9551252,0.99853987,0.735378,0.03458408,0.12878007
AL139424.2,0.7697593,1.1653901,0.97888327,0.7873714,0.7750914,0.4893043,0.86586535,0.7348635,0.10567123,0.8839873,0.89894044,0.4755916,0.066387564,0.20188102
PGD,0.9173122,0.3501678,0.6780781,0.4200664,0.5537492,0.1647325,0.24232957,0.43278435,0.59430474,0.2599317,0.63117987,0.22719522,0.050056677,0.8377991
AL139424.1,0.68979985,0.89303166,0.86234397,0.89830244,0.7771676,0.785505,0.8071316,0.77182245,0.5526827,1.0219004,1.051137,0.95109314,0.6227401,0.9041363
CENPS,0.6602965,0.1999052,0.4525325,0.10561096,0.67509776,0.08897841,0.13456231,0.13100283,0.027419452,0.28461432,0.6901622,0.04235642,0.0042295256,0.25687718
CORT,0.9402374,0.8954636,1.010133,0.92464435,0.9467958,0.63817006,0.83394295,0.8983186,0.69451684,0.8872186,1.0040383,0.8734748,0.5779291,0.570755
DFFA,0.65813,0.53713197,0.7957,0.89232224,0.582234,0.34716666,0.9145659,0.59071434,0.20492545,0.15412006,0.8083758,0.4061018,0.187654,0.8627456
AL354956.1,0.801734,0.90179724,0.87162524,1.1159705,1.0551797,0.7917704,0.84189796,0.67320675,0.9002519,0.7800406,1.0180092,0.87597775,0.5112888,0.6692534
PEX14,0.7934844,0.6841963,0.67741925,1.7018751,0.5826052,0.57306945,1.4224629,1.0769914,1.5225533,0.7592028,1.4758735,1.3902375,0.79711056,3.079238
AL139423.2,0.8600407,0.19945656,0.69383883,0.24158047,0.7243778,0.023895752,0.26618055,0.33634344,0.02684931,0.38543755,0.845393,0.05098314,0.01624149,0.12129375
CASZ1,0.70834035,0.15417485,1.8023889,2.0635371,0.5206613,0.13803573,0.4263385,0.32854038,0.20163292,0.13096307,1.1728616,0.25543573,0.1360013,5.4667735
AL139423.1,0.8470307,0.19790338,1.0306804,0.38395366,0.6253911,0.03415458,0.23755096,0.12914841,0.03603464,0.12525685,0.6051001,0.021467237,0.01431215,0.5754684
C1orf127,0.7824522,0.293326,0.5662039,0.23021378,0.7567942,0.04578604,1.0063492,0.28009418,0.08705425,0.31217736,0.8976031,0.100238934,0.0073530856,0.010000216
TARDBP,1.7960463,1.0536134,1.1556282,1.4549339,0.538223,0.8331863,1.8831884,0.53088135,1.2076762,0.5524348,0.5748123,1.497414,0.9971426,2.8105445
MASP2,0.82428056,0.6008639,0.94412816,0.52157515,0.9708743,0.0455115,0.5111297,0.5808431,0.016609574,0.47867694,0.8588304,0.082693376,0.02560537,0.05636736
AL109811.2,0.7830101,0.3847907,0.40121925,0.33193955,0.43865886,0.08429688,0.2223483,0.23538753,0.054899808,0.19615304,1.0999388,0.08936074,0.05935378,0.23885006
SRM,0.80699176,0.15483673,0.67143434,0.19779631,0.94958216,0.32124075,0.23072104,0.23350516,0.14939164,0.14491458,1.2679875,0.6336488,0.081149265,0.4871105
EXOSC10,0.69379914,0.750491,0.7215363,1.0945092,0.63162315,0.61175716,1.6418393,0.43620846,0.76312244,0.29431668,0.6474905,0.59070885,0.5193268,1.4497421
AL109811.1,0.81448317,0.3056036,0.56887347,0.15617605,0.7511861,0.10848598,0.2983416,0.15997872,0.118941516,0.37389535,1.0756246,0.07431976,0.10073231,0.31508166
EXOSC10-AS1,1.0320797,1.0756828,0.9004095,1.1489007,0.98005897,0.7951673,1.0341206,1.0321157,0.6821176,0.93170995,0.93314254,0.8001175,0.5568941,0.73869675
MTOR,0.7843303,0.31284037,1.5068437,0.9989624,1.6642749,0.92649335,1.4976319,0.9108665,1.2413509,1.1996015,1.1605107,1.1944433,0.7607974,2.4015186
MTOR-AS1,0.90813863,0.91207093,0.76685053,0.8168224,0.9393635,0.26230577,0.77334964,0.91556865,0.07096608,0.79571897,0.84736013,0.28534186,0.012364111,0.0941349
ANGPTL7,0.79169357,0.8013483,0.7679672,0.795376,0.87241185,0.40308973,0.7068144,0.83795035,0.034952197,0.72336537,0.8339373,0.37652937,0.018243063,0.09217114
UBIAD1,0.65934455,0.28894576,0.55342,0.24227104,0.62677234,0.25107825,0.28634188,0.15857993,0.032199796,0.18889949,0.36725003,0.019248907,0.11111101,0.25714713
AL031291.1,0.9186542,1.0701967,1.4039524,0.7566324,1.1602821,0.9756986,1.0149657,1.1243144,0.67509997,1.0417583,0.90830827,0.9088652,0.5472396,0.54061544
DISP3,0.90211296,0.77143043,1.0687785,0.7404731,0.73744565,0.21185325,1.0783845,0.5596254,0.028551105,0.8671054,0.9981376,0.23338616,0.01180126,0.020470094
AL590989.1,0.8733964,0.98852885,0.6228362,0.91267806,0.8359457,0.9769858,1.1901027,0.96203923,0.84021074,1.1628339,1.1176566,0.8932134,0.68515915,0.75620073
LINC01647,0.8699995,0.83279693,1.0862743,0.8523498,0.9942597,1.1383734,0.85611844,1.0771136,0.8425683,0.9039899,0.82140607,0.95380557,0.97799873,0.8904555
AL031731.1,0.813083,0.9872565,1.0112977,0.9447652,0.7223606,0.7369643,0.9678443,1.1415368,0.49688056,0.74679565,1.0456932,1.0579602,0.37844253,0.4162353
FBXO2,0.69691014,0.18243295,0.4151742,0.08723208,0.5016869,0.038778864,0.2364028,0.0924403,0.019542968,0.1553436,0.49793276,0.08340512,0.012641116,0.29338926
FBXO44,0.82302636,0.29470912,1.3858794,0.5202789,0.44134122,0.19394374,0.77835006,0.09395533,0.10374259,0.2920523,1.6926967,0.3555781,0.1342889,0.64290345
FBXO6,0.9443667,0.43293485,0.7560328,0.47260615,0.95420617,0.09044876,0.41643792,0.23071475,0.0727697,0.36614338,0.6844524,0.14976834,0.050897084,0.14086269
MAD2L2,1.0513655,0.44613817,0.7362469,0.27698135,0.9519324,0.09420563,0.5021015,0.30633,0.03438841,0.45011327,0.67641556,0.16573814,0.038891695,0.059843685
DRAXIN,0.78032297,0.81102484,0.8142119,0.8774288,0.73733,0.7156256,0.80557907,0.86817634,0.3964626,1.0345461,0.9383837,0.8956339,0.37319055,0.34963143
AGTRAP,0.71474934,0.19461404,0.3528521,0.17752656,0.5776285,0.2484144,0.13556926,0.102957755,0.17610307,0.28482342,0.74115866,0.063980326,0.1055453,0.25689316
C1orf167,0.97732186,0.9394376,0.776286,0.63548625,1.0278349,0.26008093,0.6863596,0.6891858,0.013081597,0.7393119,0.89584893,0.19700778,0.012168574,0.085548975
AL953897.1,1.0396447,0.9308834,0.8702293,0.9300623,0.86517835,1.1170604,0.86139053,1.1296302,1.0970854,0.7818774,0.7410461,0.9274509,0.6264111,0.7266387
MTHFR,0.73062605,0.30115527,1.1403719,0.43463024,1.5359529,0.6383784,0.6851301,0.32553497,0.83571905,0.27790326,0.45497242,0.1900736,0.16468734,1.1620989
